Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.58     0.00       16     0.00     0.00  std::vector<std::vector<unsigned int, std::allocator<unsigned int> >, std::allocator<std::vector<unsigned int, std::allocator<unsigned int> > > >::size() const
  0.00      0.58     0.00       14     0.00     0.00  __gnu_cxx::new_allocator<bool>::new_allocator()
  0.00      0.58     0.00       14     0.00     0.00  __gnu_cxx::new_allocator<bool>::~new_allocator()
  0.00      0.58     0.00       14     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::~new_allocator()
  0.00      0.58     0.00       14     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::deallocate(unsigned long*, unsigned long)
  0.00      0.58     0.00       14     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::allocate(unsigned long, void const*)
  0.00      0.58     0.00       14     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::new_allocator()
  0.00      0.58     0.00       14     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::max_size() const
  0.00      0.58     0.00       14     0.00     0.00  std::_Bit_iterator::operator+(long) const
  0.00      0.58     0.00       14     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::_M_end_addr() const
  0.00      0.58     0.00       14     0.00     0.00  std::initializer_list<bool>::begin() const
  0.00      0.58     0.00       14     0.00     0.00  std::allocator<bool>::~allocator()
  0.00      0.58     0.00       14     0.00     0.00  std::allocator<unsigned int>::~allocator()
  0.00      0.58     0.00       14     0.00     0.00  std::allocator<unsigned long>::allocator<bool>(std::allocator<bool> const&)
  0.00      0.58     0.00       14     0.00     0.00  void std::_Destroy_aux<true>::__destroy<unsigned int*>(unsigned int*, unsigned int*)
  0.00      0.58     0.00       14     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_impl::~_Vector_impl()
  0.00      0.58     0.00       14     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::~_Vector_base()
  0.00      0.58     0.00       14     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00      0.58     0.00       14     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_M_allocate(unsigned long)
  0.00      0.58     0.00       14     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::_Bvector_impl(std::allocator<unsigned long> const&)
  0.00      0.58     0.00       14     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::~_Bvector_impl()
  0.00      0.58     0.00       14     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_M_deallocate()
  0.00      0.58     0.00       14     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl_data::_M_reset()
  0.00      0.58     0.00       14     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl_data::_Bvector_impl_data()
  0.00      0.58     0.00       14     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_base(std::allocator<bool> const&)
  0.00      0.58     0.00       14     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::~_Bvector_base()
